Names,profession,job_length,state,homeownership,annual_income,monthly_wage,debt_to_income,total_credit_limit,total_credit_utilized,loan_purpose,loan_amount,term,interest_rate,installment,total_payment,ten_of monthly,spent_strategy,issue_date,payoff_date
Micheal Jenkins DDS,security supervisor,10,ME,MORTGAGE,"68,000","5,667",25.31,166146,72062.00,house,12000,60,11.99,267,19194,27,1620,2/1/2018,2/1/2023
Crystal Reed,,,WY,OWN,"64,000","5,333",25.3,372713,38166.00,credit_card,28000,60,15.05,667,49070,67,4020,1/1/2018,1/1/2023
Catherine Logan,readiness nco,10,TN,MORTGAGE,"72,000","6,000",25.3,120649,78421.00,other,4000,36,13.58,136,5630,14,504,2/1/2018,2/1/2021
Ana Davies,supervisor,4,MI,RENT,"70,000","5,833",25.3,55855,42572.00,debt_consolidation,15000,60,30.79,493,38093,49,2940,2/1/2018,2/1/2023
Norman Watts,kitchen manager,0,WA,RENT,"57,500","4,792",25.3,64762,26228.00,debt_consolidation,10000,36,12.62,335,13786,34,1224,2/1/2018,2/1/2021
Lauren Hall,manager,4,MD,RENT,"92,000","7,667",25.3,119214,103137.00,debt_consolidation,16000,60,21.45,437,33160,44,2640,1/1/2018,1/1/2023
Kelly Kim,supervisor,2,MI,MORTGAGE,"143,000","11,917",25.29,375728,191615.00,credit_card,12000,36,7.34,372,14642,37,1332,3/1/2018,3/1/2021
Morgan Padilla,operation's manager,10,OH,MORTGAGE,"120,000","10,000",25.29,374282,82939.00,credit_card,8500,36,15.05,295,12338,29,1044,2/1/2018,2/1/2021
Michael Simpson,repair man,10,TN,MORTGAGE,"88,000","7,333",25.28,314462,94243.00,credit_card,10000,60,28.72,316,24360,32,1920,1/1/2018,1/1/2023
John Grant,fixed assets analyst,2,WI,OWN,"60,000","5,000",25.28,197061,54661.00,credit_card,20000,60,28.72,631,48720,63,3780,1/1/2018,1/1/2023
Scott Graves,office manager,10,RI,MORTGAGE,"60,000","5,000",25.28,241431,34937.00,credit_card,10000,36,10.9,327,13270,33,1188,3/1/2018,3/1/2021
Evan Miller,driver,10,CO,MORTGAGE,"50,000","4,167",25.28,268124,21259.00,debt_consolidation,12000,60,16.01,292,21606,29,1740,3/1/2018,3/1/2023
Dylan Flores,,,MD,RENT,"38,000","3,167",25.27,95646,26249.00,credit_card,7200,36,5.32,217,8349,22,792,2/1/2018,2/1/2021
Cristina Norton,correctional officer,10,WA,RENT,"55,000","4,583",25.27,69465,54307.00,car,6000,36,23.87,235,10297,23,828,3/1/2018,3/1/2021
Emily Smith,attorney ,10,AZ,MORTGAGE,"60,000","5,000",25.26,203100,1710.00,debt_consolidation,15000,36,7.35,466,18308,47,1692,2/1/2018,2/1/2021
Leslie Key,electronic tech,8,FL,RENT,"55,000","4,583",25.25,75598,30854.00,vacation,4500,36,7.35,140,5492,14,504,1/1/2018,1/1/2021
Michelle West,"vice president, regulatory affairs ",4,MA,MORTGAGE,"250,000","20,833",25.24,659143,186238.00,home_improvement,25000,36,14.08,855,35560,86,3096,1/1/2018,1/1/2021
Brenda Skinner,driver,10,NY,RENT,"42,000","3,500",25.23,55732,29882.00,credit_card,20000,36,12.61,670,27566,67,2412,3/1/2018,3/1/2021
Patricia Hardin,bus monitor ,3,IL,OWN,"20,600","1,717",25.23,78128,13282.00,house,25000,36,7.96,783,30970,78,2808,3/1/2018,3/1/2021
Monica Smith,owner,10,CA,OWN,"90,000","7,500",25.23,354540,84063.00,car,10000,36,7.97,313,12391,31,1116,1/1/2018,1/1/2021
Thomas Nicholson,power operations coordinator ,10,AR,MORTGAGE,"120,000","10,000",25.23,269751,109928.00,debt_consolidation,20000,36,11.99,664,27194,66,2376,1/1/2018,1/1/2021
Jillian Sharp,technical support,5,CA,RENT,"40,000","3,333",25.23,67611,26875.00,debt_consolidation,6300,36,7.34,196,7687,20,720,3/1/2018,3/1/2021
Alexandra Bennett,principal engineer,4,CO,MORTGAGE,"220,000","18,333",25.22,321543,227297.00,credit_card,30000,36,7.34,931,36606,93,3348,3/1/2018,3/1/2021
Miss Mary Garrett,shop manager,3,SC,MORTGAGE,"45,000","3,750",25.22,233215,30879.00,debt_consolidation,15000,36,11.99,498,20396,50,1800,1/1/2018,1/1/2021
Wayne Anderson,unit operator,0,OH,MORTGAGE,"83,000","6,917",25.22,155190,54048.00,debt_consolidation,14000,60,21.45,382,29015,38,2280,2/1/2018,2/1/2023
Krystal Lewis,sr computer repair,10,OH,MORTGAGE,"29,000","2,417",25.21,125262,33810.00,debt_consolidation,40000,60,30.79,"1,314",101580,131,7860,2/1/2018,2/1/2023
Donald Brown,,,CA,MORTGAGE,"72,000","6,000",25.2,214942,46380.00,debt_consolidation,5000,36,13.59,170,7039,17,612,1/1/2018,1/1/2021
Shannon Briggs,it specialist,6,NJ,MORTGAGE,"75,000","6,250",25.18,89364,68418.00,debt_consolidation,21000,60,10.42,451,31941,45,2700,1/1/2018,1/1/2023
Ashley Levy,,,MD,RENT,"31,000","2,583",25.18,49833,35206.00,debt_consolidation,8000,36,7.97,251,9913,25,900,1/1/2018,1/1/2021
Kimberly Hodges,director international relations,9,NJ,MORTGAGE,"86,500","7,208",25.17,400642,73626.00,credit_card,15000,60,9.44,315,22080,31,1860,1/1/2018,1/1/2023
Jonathan Smith,supervisor medical assisant,10,FL,MORTGAGE,"42,000","3,500",25.17,42408,24602.00,debt_consolidation,14000,36,20.39,523,22564,52,1872,3/1/2018,3/1/2021
Richard Terry,,,NC,OWN,"68,000","5,667",25.16,150211,82246.00,debt_consolidation,40000,60,9.93,849,59860,85,5100,2/1/2018,2/1/2023
Elizabeth Turner,banker,0,OH,MORTGAGE,"53,000","4,417",25.16,212046,43698.00,debt_consolidation,12800,60,10.9,278,19776,28,1680,3/1/2018,3/1/2023
Kristen Nelson,house keeper,5,WA,MORTGAGE,"50,000","4,167",25.16,67947,50045.00,other,18000,36,7.97,564,22304,56,2016,1/1/2018,1/1/2021
Debra Huerta,registered nurse,7,NJ,MORTGAGE,"95,000","7,917",25.16,404541,83358.00,debt_consolidation,24500,36,12.62,821,33776,82,2952,2/1/2018,2/1/2021
Laura Nelson,sales assistant ,2,NJ,RENT,"30,000","2,500",25.16,51000,44701.00,moving,5000,36,15.04,173,7256,17,612,3/1/2018,3/1/2021
Maria Thompson,rrt,10,MI,OWN,"65,000","5,417",25.15,316625,38064.00,credit_card,20000,60,19.03,519,39030,52,3120,1/1/2018,1/1/2023
Anthony Smith,operator,10,VA,MORTGAGE,"117,000","9,750",25.15,473648,106480.00,other,12000,36,7.34,372,14642,37,1332,3/1/2018,3/1/2021
Wendy Irwin,school secretary 1,10,CA,RENT,"51,754","4,313",25.14,120960,106836.00,credit_card,2500,36,9.93,81,3245,8,288,1/1/2018,1/1/2021
Kathy Johnson,teacher,10,FL,MORTGAGE,"60,000","5,000",25.14,290681,73664.00,debt_consolidation,8500,36,6.07,259,10048,26,936,3/1/2018,3/1/2021
Sara Dunn,registered nurse ,2,FL,RENT,"50,400","4,200",25.14,112700,93923.00,credit_card,10000,60,16.02,243,18010,24,1440,1/1/2018,1/1/2023
Megan Foster,staff assistant to the dean,7,CA,RENT,"55,000","4,583",25.14,39500,29323.00,debt_consolidation,20000,36,17.09,714,30254,71,2556,1/1/2018,1/1/2021
James Snow,it manager,10,AZ,MORTGAGE,"110,000","9,167",25.14,447975,116928.00,debt_consolidation,25000,60,10.42,536,38025,54,3240,2/1/2018,2/1/2023
Darin Davis,retail and brand education specialist,1,WA,RENT,"54,000","4,500",25.14,74425,57440.00,debt_consolidation,15000,60,10.9,325,23175,33,1980,3/1/2018,3/1/2023
Michael Chung,managing member,3,NY,OWN,"150,000","12,500",25.13,127500,72858.00,house,30000,60,26.3,904,69450,90,5400,1/1/2018,1/1/2023
Shannon Branch,it manager,3,PA,OWN,"93,700","7,808",25.13,287342,120650.00,credit_card,8000,36,5.31,241,9274,24,864,2/1/2018,2/1/2021
Ronnie Lopez,workflow consultant,10,CA,RENT,"82,000","6,833",25.13,174569,35844.00,other,3000,36,6.72,92,3605,9,324,1/1/2018,1/1/2021
Jeffrey Riley,attorney,0,PA,RENT,"90,500","7,542",25.13,203921,194908.00,credit_card,17000,36,7.35,528,20749,53,1908,1/1/2018,1/1/2021
Eric Pollard,business manager,10,OR,MORTGAGE,"117,000","9,750",25.12,346895,95909.00,credit_card,35000,36,5.31,"1,054",40576,105,3780,3/1/2018,3/1/2021
Patricia Austin,office manager,0,NY,RENT,"45,000","3,750",25.12,47005,35085.00,credit_card,15000,36,16.01,527,22205,53,1908,3/1/2018,3/1/2021
Janice Nunez,senior communications specialist,8,VA,RENT,"90,000","7,500",25.11,121994,61633.00,other,8000,36,18.06,289,12334,29,1044,1/1/2018,1/1/2021
Kristina Moore,supervisor,3,IN,RENT,"47,757","3,980",25.11,39482,36228.00,debt_consolidation,23000,60,13.58,530,38617,53,3180,3/1/2018,3/1/2023
Keith Shelton,maintenance tech ,2,NC,OWN,"50,000","4,167",25.11,71194,48265.00,other,15000,36,7.97,470,18587,47,1692,2/1/2018,2/1/2021
Dawn Edwards,software architect,10,WA,RENT,"105,000","8,750",25.1,113706,84244.00,credit_card,35000,60,13.58,807,58765,81,4860,3/1/2018,3/1/2023
Paige Hoover,hair stylist,10,AZ,OWN,"36,000","3,000",25.1,90000,34085.00,credit_card,15000,36,9.93,484,19469,48,1728,1/1/2018,1/1/2021
Angel Castaneda,,,MO,RENT,"24,000","2,000",25.1,27859,17429.00,debt_consolidation,5000,36,13.59,170,7039,17,612,1/1/2018,1/1/2021
Mrs. Nicole Mcbride,controller,6,NJ,RENT,"75,000","6,250",25.09,293548,45170.00,major_purchase,20000,36,13.59,680,28154,68,2448,1/1/2018,1/1/2021
Andre Davis,registered nurse ,4,FL,MORTGAGE,"79,000","6,583",25.09,438185,123026.00,credit_card,3300,36,5.31,99,3826,10,360,3/1/2018,3/1/2021
Mr. Johnathan Hernandez,quality control,10,CA,RENT,"54,000","4,500",25.09,56518,44122.00,other,20000,60,19.03,519,39030,52,3120,3/1/2018,3/1/2023
Sophia Hines,project manager,0,NJ,RENT,"76,000","6,333",25.09,136028,103390.00,credit_card,12000,36,7.97,376,14869,38,1368,1/1/2018,1/1/2021
Christine Murphy,,,KY,MORTGAGE,"90,000","7,500",25.08,108873,67047.00,credit_card,25200,60,11.98,560,40295,56,3360,3/1/2018,3/1/2023
Julie Aguilar,crew member/ section leader,9,NC,RENT,"49,000","4,083",25.08,53110,22891.00,major_purchase,13000,60,12.62,293,21203,29,1740,2/1/2018,2/1/2023
Christine Roberson,administrative assistant,10,PA,OWN,"107,000","8,917",25.07,449015,95800.00,debt_consolidation,28000,60,15.05,667,49070,67,4020,2/1/2018,2/1/2023
Christopher Simpson,principal,7,PA,MORTGAGE,"125,000","10,417",25.07,487442,91446.00,credit_card,20000,36,10.91,654,26546,65,2340,2/1/2018,2/1/2021
Scott Simmons,supervisor,10,WA,MORTGAGE,"138,000","11,500",25.07,553300,72845.00,home_improvement,14400,36,11.99,478,19580,48,1728,1/1/2018,1/1/2021
Luis English,client service rep,10,MI,MORTGAGE,"32,500","2,708",25.07,233229,7651.00,debt_consolidation,10000,60,10.42,215,15210,21,1260,1/1/2018,1/1/2023
David Rodriguez,audio eng,10,FL,RENT,"65,000","5,417",25.07,211031,29468.00,debt_consolidation,14000,36,9.44,448,17965,45,1620,2/1/2018,2/1/2021
Randall Hart,qa analyst,0,MD,MORTGAGE,"45,000","3,750",25.07,210269,42282.00,debt_consolidation,15000,60,17.09,374,27818,37,2220,1/1/2018,1/1/2023
William Love,site manager,3,NE,MORTGAGE,"60,000","5,000",25.06,178100,30289.00,debt_consolidation,25000,60,12.61,564,40763,56,3360,3/1/2018,3/1/2023
Daniel White,district manager,5,WI,RENT,"85,000","7,083",25.06,86705,70249.00,debt_consolidation,16000,60,21.85,441,33480,44,2640,3/1/2018,3/1/2023
Samantha Lopez,teacher,3,KS,MORTGAGE,"50,000","4,167",25.06,174544,37638.00,other,2200,36,7.97,69,2726,7,252,1/1/2018,1/1/2021
Adam Tucker,administrative assistant,2,NY,RENT,"46,000","3,833",25.06,70250,25641.00,credit_card,10000,36,7.96,313,12388,31,1116,3/1/2018,3/1/2021
David Galloway,maint tech ,9,AZ,MORTGAGE,"77,500","6,458",25.05,252368,56927.00,debt_consolidation,35000,36,16.01,"1,231",51811,123,4428,2/1/2018,2/1/2021
Susan Perry,data analyst,1,CA,RENT,"54,800","4,567",25.05,89188,58185.00,moving,6000,36,9.92,193,7786,19,684,3/1/2018,3/1/2021
Jeffrey Deleon,equipment sales,4,OH,MORTGAGE,"65,000","5,417",25.04,249382,81293.00,debt_consolidation,30000,60,11.99,667,47985,67,4020,1/1/2018,1/1/2023
Melanie Ortiz,schedule coordinator,10,CA,MORTGAGE,"54,000","4,500",25.02,33139,27326.00,credit_card,9125,36,15.05,317,13245,32,1152,1/1/2018,1/1/2021
Daniel Tyler,inventory control mgr,10,SC,MORTGAGE,"80,000","6,667",25.02,83866,70132.00,debt_consolidation,25000,60,16.02,608,45025,61,3660,2/1/2018,2/1/2023
Erica Delgado,secretary,10,IL,OWN,"70,000","5,833",25.01,215212,53902.00,debt_consolidation,40000,60,7.97,810,55940,81,4860,1/1/2018,1/1/2023
Michelle Reyes,cleaning business,10,MI,MORTGAGE,"20,000","1,667",25.01,85253,9753.00,home_improvement,3600,36,11.99,120,4895,12,432,1/1/2018,1/1/2021
Thomas Franklin,program manager,10,NY,MORTGAGE,"65,000","5,417",25.01,260519,26636.00,credit_card,10000,36,7.35,310,12205,31,1116,1/1/2018,1/1/2021
Amy Harper,receiving clerk,0,IN,OWN,"31,000","2,583",25.01,45944,48379.00,debt_consolidation,16000,60,16.01,389,28808,39,2340,3/1/2018,3/1/2023
Paul Williamson,secretary,10,CA,RENT,"24,000","2,000",25,30500,16231.00,debt_consolidation,16000,36,13.59,544,22523,54,1944,1/1/2018,1/1/2021
Colleen Moore,sr claims adjustor ,10,IN,MORTGAGE,"54,000","4,500",25,227200,25341.00,debt_consolidation,30000,36,12.62,"1,005",41358,101,3636,1/1/2018,1/1/2021
Kevin Kim,maintenance director,10,MO,MORTGAGE,"62,000","5,167",24.99,174390,32037.00,credit_card,21000,60,12.62,474,34251,47,2820,2/1/2018,2/1/2023
Carlos Taylor,supervisor,10,TX,OWN,"46,000","3,833",24.99,48700,26142.00,debt_consolidation,10000,36,7.97,313,12391,31,1116,1/1/2018,1/1/2021
Paula Gonzalez,sr project manager,2,TX,RENT,"90,000","7,500",24.99,83886,62749.00,debt_consolidation,10000,60,21.45,273,20725,27,1620,1/1/2018,1/1/2023
Kenneth Santos,,,MO,OWN,"45,000","3,750",24.99,94367,26306.00,other,10000,36,10.9,327,13270,33,1188,3/1/2018,3/1/2021
Courtney Olson,clinical engineer,4,MA,RENT,"92,000","7,667",24.99,142546,96275.00,debt_consolidation,25450,36,7.97,797,31535,80,2880,1/1/2018,1/1/2021
Dawn Hansen,senior quality analyst,9,IN,MORTGAGE,"91,000","7,583",24.99,307277,105205.00,debt_consolidation,15000,36,7.35,466,18308,47,1692,1/1/2018,1/1/2021
John Coleman,sales consultant,4,MO,MORTGAGE,"75,000","6,250",24.99,212920,56363.00,credit_card,10000,36,5.32,301,11596,30,1080,1/1/2018,1/1/2021
Justin Johnson,cna,10,MA,MORTGAGE,"37,000","3,083",24.98,41975,15690.00,debt_consolidation,10000,36,16.02,352,14806,35,1260,1/1/2018,1/1/2021
Crystal Brown,public utility analyst ii,10,FL,OWN,"40,060","3,338",24.98,88079,76403.00,debt_consolidation,8000,36,16.01,281,11842,28,1008,2/1/2018,2/1/2021
Joshua Gonzales,engineer,3,FL,MORTGAGE,"59,000","4,917",24.98,306708,171995.00,debt_consolidation,14000,60,19.42,366,27594,37,2220,3/1/2018,3/1/2023
Charles Sharp,bus operator ,7,NY,RENT,"65,000","5,417",24.97,70671,40775.00,other,18000,36,10.91,589,23891,59,2124,1/1/2018,1/1/2021
Mark Mendoza,loan officer,5,CA,MORTGAGE,"110,000","9,167",24.97,485312,117705.00,credit_card,35000,36,10.9,"1,144",46445,114,4104,3/1/2018,3/1/2021
Calvin Monroe,supervisor ,10,KS,MORTGAGE,"61,000","5,083",24.97,213722,40594.00,debt_consolidation,10000,36,10.41,325,13123,32,1152,3/1/2018,3/1/2021
Victor Gray,warehouse manager,10,GA,OWN,"98,000","8,167",24.96,91357,78671.00,credit_card,20000,36,18.06,724,30836,72,2592,1/1/2018,1/1/2021
Kevin Buck MD,deputy sheriff,10,CO,RENT,"48,000","4,000",24.96,73064,20632.00,debt_consolidation,9800,36,6.08,299,11588,30,1080,2/1/2018,2/1/2021
Cameron Garcia,escrow officer,7,CA,MORTGAGE,"68,000","5,667",24.96,663710,65285.00,home_improvement,24000,36,6.71,738,28831,74,2664,3/1/2018,3/1/2021
Sharon Richmond,patient transporter,10,VA,OWN,"53,000","4,417",24.95,77774,48633.00,debt_consolidation,6000,36,11.98,199,8156,20,720,3/1/2018,3/1/2021
Katelyn Campbell,registered nurse,1,NJ,RENT,"70,000","5,833",24.94,61150,44209.00,medical,20000,60,12.62,451,32620,45,2700,1/1/2018,1/1/2023
Victoria Bond,shift supervisor,10,FL,OWN,"23,000","1,917",24.93,28100,17347.00,house,6000,36,12.61,201,8270,20,720,3/1/2018,3/1/2021
Sara Cherry,,,FL,RENT,"67,000","5,583",24.93,263912,39492.00,debt_consolidation,14400,60,16.01,350,25927,35,2100,3/1/2018,3/1/2023
Maureen Aguilar,paralegal,3,NJ,RENT,"59,000","4,917",24.93,95131,32894.00,debt_consolidation,22000,60,10.9,477,33990,48,2880,2/1/2018,2/1/2023
David Anderson,ltl truck driver,3,CA,OWN,"75,000","6,250",24.93,99830,28029.00,debt_consolidation,20000,36,7.97,626,24782,63,2268,1/1/2018,1/1/2021
Mr. Cody Esparza,,,WI,OWN,"45,000","3,750",24.91,114840,87728.00,other,9600,36,7.35,298,11717,30,1080,1/1/2018,1/1/2021
Michael Barnett,cna/hha hospice,10,CA,RENT,"45,000","3,750",24.91,40965,19903.00,debt_consolidation,12000,36,15.05,416,17418,42,1512,2/1/2018,2/1/2021
Anthony Lawson,live-in care giver,2,SC,MORTGAGE,"65,000","5,417",24.91,58817,30214.00,credit_card,8000,36,6.71,246,9610,25,900,3/1/2018,3/1/2021
Lisa Vasquez,nurse technician ,3,NY,RENT,"45,000","3,750",24.91,42400,25854.00,debt_consolidation,15000,60,19.03,389,29273,39,2340,1/1/2018,1/1/2023
Steven Conrad,project engineer,5,LA,MORTGAGE,"100,000","8,333",24.91,482807,102992.00,other,20000,36,9.44,640,25664,64,2304,1/1/2018,1/1/2021
Dennis Martin,hospitalist,3,TX,MORTGAGE,"245,000","20,417",24.9,772243,497876.00,debt_consolidation,40000,60,9.44,839,58880,84,5040,2/1/2018,2/1/2023
Mark Short,president ,10,NE,MORTGAGE,"90,000","7,500",24.89,301204,76366.00,credit_card,20000,36,7.97,626,24782,63,2268,1/1/2018,1/1/2021
Julia Mccormick,loan processor,5,SC,MORTGAGE,"27,480","2,290",24.89,102277,19315.00,debt_consolidation,3200,36,16.01,113,4737,11,396,2/1/2018,2/1/2021
Sydney Jones,manager mp&l,10,OH,MORTGAGE,"96,000","8,000",24.88,216244,71954.00,debt_consolidation,30500,60,15.05,726,53451,73,4380,1/1/2018,1/1/2023
Sheila Chase,,,FL,OWN,"19,000","1,583",24.88,19600,8536.00,medical,10800,60,12.62,244,17615,24,1440,1/1/2018,1/1/2023
Andre Thomas,consultant,7,CA,MORTGAGE,"100,000","8,333",24.87,132262,68419.00,medical,10000,36,9.93,322,12979,32,1152,1/1/2018,1/1/2021
David Gallagher,owner,6,MS,MORTGAGE,"125,000","10,417",24.87,327524,84348.00,debt_consolidation,35000,60,16.02,852,63035,85,5100,1/1/2018,1/1/2023
Linda Brown,sales,1,SC,RENT,"28,000","2,333",24.86,21300,12569.00,debt_consolidation,20000,36,9.44,640,25664,64,2304,2/1/2018,2/1/2021
Riley Rice,ld teacher computer science,6,FL,RENT,"56,000","4,667",24.86,166687,194651.00,debt_consolidation,24000,60,22.9,675,51480,68,4080,3/1/2018,3/1/2023
Valerie Jackson,state trooper,7,PA,RENT,"95,000","7,917",24.86,115324,66850.00,major_purchase,12000,36,12.61,402,16540,40,1440,3/1/2018,3/1/2021
Stephanie Jones,,,OH,RENT,"35,000","2,917",24.86,44400,23114.00,debt_consolidation,19200,36,18.06,695,29603,69,2484,3/1/2018,3/1/2021
Brian Shah,recruiter,10,PA,MORTGAGE,"72,000","6,000",24.86,261391,65409.00,debt_consolidation,40000,36,9.92,"1,289",51904,129,4644,3/1/2018,3/1/2021
Joseph Rodriguez,equipment manager,4,TX,MORTGAGE,"90,000","7,500",24.84,281933,55725.00,debt_consolidation,27000,60,5.32,514,34182,51,3060,1/1/2018,1/1/2023
Nathaniel Knight,mortgage loan officer,2,CA,RENT,"90,000","7,500",24.84,105922,84120.00,debt_consolidation,10000,36,23.87,392,17161,39,1404,3/1/2018,3/1/2021
Michael Evans,revenue manager,6,FL,MORTGAGE,"72,000","6,000",24.83,126656,89100.00,debt_consolidation,25000,36,9.44,800,32080,80,2880,1/1/2018,1/1/2021
Amanda Hunter,on-site manager,10,OR,RENT,"42,000","3,500",24.83,46863,24785.00,credit_card,13500,36,13.58,459,19000,46,1656,2/1/2018,2/1/2021
Kenneth Livingston,bi analyst,7,CA,MORTGAGE,"76,500","6,375",24.82,388814,83617.00,debt_consolidation,30000,60,9.43,629,44145,63,3780,3/1/2018,3/1/2023
Zachary Tyler,premier banker ,5,AZ,RENT,"59,000","4,917",24.82,77296,74539.00,debt_consolidation,8000,36,15.04,277,11610,28,1008,3/1/2018,3/1/2021
Richard Mcdaniel,police officer,7,CO,MORTGAGE,"65,000","5,417",24.82,250688,42717.00,credit_card,10000,36,5.31,301,11593,30,1080,3/1/2018,3/1/2021
Vincent Thompson,director of administration,9,AZ,RENT,"84,362","7,030",24.82,93899,68032.00,debt_consolidation,10000,36,17.47,359,15241,36,1296,3/1/2018,3/1/2021
Amanda Reyes,quality inspection,9,MN,MORTGAGE,"70,000","5,833",24.81,297982,54997.00,debt_consolidation,26400,60,9.43,554,38848,55,3300,2/1/2018,2/1/2023
Timothy Smith,manager,10,VA,MORTGAGE,"112,000","9,333",24.81,451795,118963.00,credit_card,6000,36,11.99,199,8158,20,720,1/1/2018,1/1/2021
Sarah Martinez,asst customer service manager,0,NC,MORTGAGE,"38,450","3,204",24.81,139482,23255.00,debt_consolidation,14400,60,13.58,332,24178,33,1980,2/1/2018,2/1/2023
Katherine Werner,chief solutions officer,10,TN,MORTGAGE,"195,000","16,250",24.81,491173,263885.00,debt_consolidation,35000,36,13.59,"1,189",49270,119,4284,1/1/2018,1/1/2021
Melanie Gray,principal ,2,TX,MORTGAGE,"87,500","7,292",24.81,342875,91098.00,home_improvement,16000,36,9.92,516,20762,52,1872,3/1/2018,3/1/2021
Travis Cortez,configuration analyst,1,CA,RENT,"122,000","10,167",24.8,115703,87244.00,debt_consolidation,16000,36,16.01,563,23685,56,2016,3/1/2018,3/1/2021
Amy Meyer,carpenter,10,MA,RENT,"100,000","8,333",24.8,84494,71412.00,debt_consolidation,12000,36,17.09,428,18152,43,1548,1/1/2018,1/1/2021
Javier Clark,laborer ,3,PA,MORTGAGE,"41,000","3,417",24.8,149165,49276.00,credit_card,14500,60,7.35,290,19829,29,1740,2/1/2018,2/1/2023
Diana Crosby,,,MI,MORTGAGE,"19,000","1,583",24.79,23234,12435.00,other,10000,60,18.06,254,19030,25,1500,1/1/2018,1/1/2023
Luke Hanson,security officer,3,TX,OWN,"27,500","2,292",24.79,33056,23188.00,debt_consolidation,6500,36,7.97,204,8054,20,720,1/1/2018,1/1/2021
Bianca Johnson,office manager,2,MN,MORTGAGE,"35,000","2,917",24.77,123245,34245.00,debt_consolidation,40000,60,11.99,890,63980,89,5340,1/1/2018,1/1/2023
Jonathan Figueroa,call center director,10,TX,MORTGAGE,"128,000","10,667",24.77,192253,101493.00,debt_consolidation,40000,60,11.99,890,63980,89,5340,1/1/2018,1/1/2023
James Buckley,director of business & economic develop,3,MD,RENT,"82,500","6,875",24.77,206972,237839.00,credit_card,15000,36,9.43,480,19244,48,1728,3/1/2018,3/1/2021
Michael Bennett,crew chief ,2,FL,MORTGAGE,"44,000","3,667",24.77,56476,40706.00,home_improvement,7200,36,14.08,246,10241,25,900,2/1/2018,2/1/2021
Monique Thompson,diesel tech,3,TX,RENT,"44,000","3,667",24.77,54295,34174.00,debt_consolidation,20000,36,11.98,664,27188,66,2376,2/1/2018,2/1/2021
Diane Cook,counselor,10,TX,MORTGAGE,"70,000","5,833",24.76,415186,61454.00,credit_card,22000,36,5.32,663,25511,66,2376,2/1/2018,2/1/2021
Michelle Young,teacher/coach,9,TX,MORTGAGE,"70,000","5,833",24.76,434034,37907.00,debt_consolidation,30000,36,9.93,967,38937,97,3492,2/1/2018,2/1/2021
Melissa Rosales,legal assistant/paralegal,2,TN,RENT,"54,000","4,500",24.76,89755,39279.00,other,18000,60,10.9,390,27810,39,2340,3/1/2018,3/1/2023
Sheena Curry,data entry,10,TX,MORTGAGE,"31,600","2,633",24.76,121932,21667.00,debt_consolidation,5400,36,15.04,187,7836,19,684,3/1/2018,3/1/2021
Allison Burnett,teacher,10,FL,RENT,"48,000","4,000",24.76,56435,41611.00,credit_card,11000,36,7.97,345,13630,34,1224,1/1/2018,1/1/2021
Heidi Lee,director-owner,7,MN,MORTGAGE,"93,000","7,750",24.75,798310,74053.00,medical,15000,60,10.9,325,23175,33,1980,3/1/2018,3/1/2023
Peggy Lopez,"director, field operations",10,TX,RENT,"145,000","12,083",24.75,244929,75961.00,credit_card,27000,60,7.97,547,37760,55,3300,1/1/2018,1/1/2023
Jackie Olson,support,10,MA,RENT,"26,000","2,167",24.75,27282,10993.00,debt_consolidation,12000,60,9.93,255,17958,25,1500,2/1/2018,2/1/2023
Mark Williams,service representative ,10,OH,RENT,"40,000","3,333",24.75,62837,32879.00,vacation,4900,36,21.45,186,8053,19,684,1/1/2018,1/1/2021
Mary Andrade,mechanic ,1,CA,RENT,"58,000","4,833",24.75,70100,36980.00,credit_card,7000,36,9.93,226,9085,23,828,2/1/2018,2/1/2021
Kimberly Ramsey,human resource manager,2,OK,MORTGAGE,"100,000","8,333",24.73,360869,180027.00,credit_card,14800,36,9.92,477,19204,48,1728,3/1/2018,3/1/2021
Mikayla Mitchell,package car driver,10,PA,MORTGAGE,"140,000","11,667",24.72,334792,120076.00,debt_consolidation,29700,36,22.9,"1,148",50104,115,4140,2/1/2018,2/1/2021
David Vargas,assistant,5,FL,RENT,"40,000","3,333",24.72,40155,12565.00,debt_consolidation,6000,36,18.45,218,9321,22,792,3/1/2018,3/1/2021
Susan Hicks,meat wrapper,10,MI,MORTGAGE,"32,248","2,687",24.71,113286,24243.00,credit_card,10000,60,16.02,243,18010,24,1440,1/1/2018,1/1/2023
Sophia Stanley,senior manager,8,OH,MORTGAGE,"83,000","6,917",24.7,243855,50023.00,debt_consolidation,30850,36,13.59,"1,048",43428,105,3780,2/1/2018,2/1/2021
Nicole Mason,owner/operator,10,FL,MORTGAGE,"60,000","5,000",24.7,217769,47862.00,car,12500,36,7.34,388,15253,39,1404,3/1/2018,3/1/2021
Brian Smith,material handler ,3,NJ,MORTGAGE,"50,000","4,167",24.7,77010,43875.00,home_improvement,24000,60,13.59,553,40308,55,3300,1/1/2018,1/1/2023
Rebecca Nolan MD,medical assistant,4,CA,RENT,"35,000","2,917",24.7,49097,36219.00,house,20000,60,20,530,40000,53,3180,1/1/2018,1/1/2023
