Names,profession,loan_purpose,total_credit_utilized,loan_amount,interest_rate,term,ten_of monthly,total_satoshis,total_sp_value,payoff_date,sp_price_on_date,btc_price_on_date,btc_sold_on_term,sp_sold_term,total_payment,spent_strategy
Nathan Smith,program coordinator,home_improvement,18198,10000,6.08,36,30,14621790,0.375,1/1/2021,3700,29022.42,4243.6,1387.5,26872,2220
Guy Golden,teacher,small_business,17817,30000,25.82,60,90,50674770,1.638,1/1/2023,3824,16540,8381.61,6263.712,10337,900
Joseph Meza,accounting associates,debt_consolidation,25684,7325,11.99,36,24,11697432,0.3,1/1/2021,3700,29022.42,3394.88,1110,33086,2880
Danielle Farrell,certified nurse aide,home_improvement,18657,10000,12.62,36,34,16571362,0.425,1/1/2021,3700,29022.42,4809.41,1572.5,14077,1224
Mrs. Erin Davila MD,engineer,debt_consolidation,48912,24000,6.72,36,74,36067082,0.925,1/1/2021,3700,29022.42,10467.54,3422.5,60912,5160
Shannon Fowler,deputy sheriff,debt_consolidation,84245,25600,5.32,36,77,37529261,0.9625,1/1/2021,3700,29022.42,10891.9,3561.25,11833,972
Franklin Fields,supervisory msa,other,37214,10800,13.59,60,25,14076325,0.455,1/1/2023,3824,16540,2328.22,1739.92,15575,1404
Heidi Johnson,implementation consultant,debt_consolidation,25963,10500,5.32,36,32,15596576,0.4,1/1/2021,3700,29022.42,4526.5,1480,1725,144
Angel Martin,specimen processor,debt_consolidation,62187,13000,5.32,36,39,19008327,0.4875,1/1/2021,3700,29022.42,5516.68,1803.75,17918,1584
Anthony Mcgee,billing rep,credit_card,21869,6000,10.91,36,20,9747860,0.25,1/1/2021,3700,29022.42,2829.06,925,7537,720
Dr. David Griffith DDS,director of bi and analytics,home_improvement,79242,25000,7.35,60,50,28152650,0.91,1/1/2023,3824,16540,4656.45,3479.84,11152,1008
Charles Carter,regional account manager,debt_consolidation,42419,35000,19.03,60,91,51237823,1.6562,1/1/2023,3824,16540,8474.74,6333.3088,8884,756
James Garcia MD,teller,debt_consolidation,16061,20000,7.97,36,63,30705759,0.7875,1/1/2021,3700,29022.42,8911.55,2913.75,7321,684
Danielle Martinez PhD,owner,debt_consolidation,68568,10000,6.72,36,31,15109183,0.3875,1/1/2021,3700,29022.42,4385.05,1433.75,48627,3960
Darlene Smith,server,other,1848,4000,17.09,36,14,6823502,0.175,1/1/2021,3700,29022.42,1980.35,647.5,13985,1200
Mr. Shane Garcia MD,hot end fiberizer,debt_consolidation,23410,10000,9.44,36,32,15596576,0.4,1/1/2021,3700,29022.42,4526.5,1480,24465,2040
Amy Rhodes,regional director,credit_card,20742,5000,7.35,36,16,7798288,0.2,1/1/2021,3700,29022.42,2263.25,740,6797,612
Charles Hampton,nurse practitioner ,home_improvement,41134,25000,13.59,60,58,32657074,1.0556,1/1/2023,3824,16540,5401.48,4036.6144,14185,1332
Mrs. Heidi Cortez,"manager, workforce optimization",home_improvement,26298,7200,6.72,36,22,10722646,0.275,1/1/2021,3700,29022.42,3111.97,1017.5,5688,504
Lisa Campbell,grievance coordinator ,debt_consolidation,23828,30000,9.93,60,64,36035392,1.1648,1/1/2023,3824,16540,5960.25,4454.1952,14416,1332
Jamie Wilson,help desk manager,credit_card,109160,20000,9.44,60,42,23648226,0.7644,1/1/2023,3824,16540,3911.42,2923.0656,28961,2280
Russell Ruiz,pharmacist ,major_purchase,256297,30000,20,60,79,44481187,1.4378,1/1/2023,3824,16540,7357.19,5498.1472,28273,2220
Edward Cook,facilities officer,credit_card,68804,10000,7.35,36,31,15109183,0.3875,1/1/2021,3700,29022.42,4385.05,1433.75,24320,2016
Mrs. Rebecca Hanna,lieutenant,debt_consolidation,40365,25000,7.97,60,51,28715703,0.9282,1/1/2023,3824,16540,4749.58,3549.4368,21232,1872
Emily Kirk,owner/operator,other,28673,30000,9.93,36,97,47277121,1.2125,1/1/2021,3700,29022.42,13720.96,4486.25,39056,3564
Adam Rodriguez,i & c technician,debt_consolidation,74381,12000,24.85,60,35,19706855,0.637,1/1/2023,3824,16540,3259.51,2435.888,19248,1728
Trevor Larsen PhD,,debt_consolidation,17051,17000,13.59,36,58,28268794,0.725,1/1/2021,3700,29022.42,8204.29,2682.5,21260,1836
Michael Phillips,project engineer,debt_consolidation,102353,25000,26.3,60,75,42228975,1.365,1/1/2023,3824,16540,6984.67,5219.76,6563,576
Susan Ponce,sales support,debt_consolidation,32981,5000,7.35,36,16,7798288,0.2,1/1/2021,3700,29022.42,2263.25,740,46838,3780
Tammy Marsh,lamination,debt_consolidation,22540,3000,12.62,36,10,4873930,0.125,1/1/2021,3700,29022.42,1414.53,462.5,15751,1404
Tina Hogan,management analyst,other,24561,6700,10.91,36,22,10722646,0.275,1/1/2021,3700,29022.42,3111.97,1017.5,17839,1620
Wesley Gray,process associate,debt_consolidation,7655,24000,15.05,60,57,32094021,1.0374,1/1/2023,3824,16540,5308.35,3967.0176,52992,4560
Christopher Burton,ap coordinator,credit_card,60036,8000,20,36,30,14621790,0.375,1/1/2021,3700,29022.42,4243.6,1387.5,59560,4620
Taylor Holland,photographer,credit_card,12388,14400,13.59,36,49,23882257,0.6125,1/1/2021,3700,29022.42,6931.21,2266.25,68208,5280
Sean Lopez,sales,credit_card,30835,20000,6.72,36,61,29730973,0.7625,1/1/2021,3700,29022.42,8628.65,2821.25,14224,1224
Joe Leonard III,software engineer,debt_consolidation,52365,8000,7.35,36,25,12184825,0.3125,1/1/2021,3700,29022.42,3536.33,1156.25,29606,2520
Richard Lopez,general manager,debt_consolidation,79729,25000,10.42,60,54,30404862,0.9828,1/1/2023,3824,16540,5028.96,3758.2272,15395,1368
Christopher Moreno,pilot,credit_card,35107,7400,11.99,36,25,12184825,0.3125,1/1/2021,3700,29022.42,3536.33,1156.25,48672,4140
Thomas Crane,cantor,major_purchase,107267,30000,12.62,36,101,49226693,1.2625,1/1/2021,3700,29022.42,14286.78,4671.25,25214,2040
Katie Garza,,debt_consolidation,12177,10000,6.72,36,31,15109183,0.3875,1/1/2021,3700,29022.42,4385.05,1433.75,32312,2580
Ryan Smith,manager,small_business,47742,12000,20,36,45,21932685,0.5625,1/1/2021,3700,29022.42,6365.4,2081.25,19689,1764
Jesse Bailey,locomotive engineer ,other,5878,3000,9.93,36,10,4873930,0.125,1/1/2021,3700,29022.42,1414.53,462.5,63488,4920
Brittney Potter,management ,debt_consolidation,31286,30000,7.97,36,94,45814942,1.175,1/1/2021,3700,29022.42,13296.6,4347.5,40763,3360
Philip Lawson,personal banker,credit_card,34442,15000,14.08,60,35,19706855,0.637,1/1/2023,3824,16540,3259.51,2435.888,15748,1404
Cynthia Anderson,owner/partner,small_business,35548,14000,10.91,36,46,22420078,0.575,1/1/2021,3700,29022.42,6506.85,2127.5,25934,2100
Robert Matthews,asst to ceo,credit_card,67919,18000,13.59,36,61,29730973,0.7625,1/1/2021,3700,29022.42,8628.65,2821.25,6490,576
Patrick Smith,court reporter,debt_consolidation,11283,6425,15.05,36,22,10722646,0.275,1/1/2021,3700,29022.42,3111.97,1017.5,51813,4080
Carly Sanchez,software engineer,credit_card,65344,8700,16.02,36,31,15109183,0.3875,1/1/2021,3700,29022.42,4385.05,1433.75,16555,1368
Kimberly Lopez,operating engineer,debt_consolidation,76824,10000,19.03,36,37,18033541,0.4625,1/1/2021,3700,29022.42,5233.77,1711.25,42588,3600
Cynthia Fuller,executive assistant,credit_card,22154,16000,15.05,36,56,27294008,0.7,1/1/2021,3700,29022.42,7921.38,2590,6488,576
Michelle Petersen,operation,credit_card,4549,10000,15.05,36,35,17058755,0.4375,1/1/2021,3700,29022.42,4950.86,1618.75,19138,1680
Taylor Castillo,consultant,credit_card,39979,20000,14.08,60,47,26463491,0.8554,1/1/2023,3824,16540,4377.06,3271.0496,12617,1152
Stacey Thompson,principal ,credit_card,49871,25000,21.45,60,68,38287604,1.2376,1/1/2023,3824,16540,6332.77,4732.5824,11246,1008
Michael Mendoza PhD,vp tech support andtraining,debt_consolidation,53146,17000,6.08,36,52,25344436,0.65,1/1/2021,3700,29022.42,7355.57,2405,17390,1620
Alisha Whitehead,tech,debt_consolidation,23741,6500,7.35,36,20,9747860,0.25,1/1/2021,3700,29022.42,2829.06,925,19623,1836
Cassandra Green,laborer foreman ,debt_consolidation,53521,30000,10.42,36,97,47277121,1.2125,1/1/2021,3700,29022.42,13720.96,4486.25,15826,1332
Jennifer Hanna,financial management,debt_consolidation,49118,35000,18.06,36,127,61898911,1.5875,1/1/2021,3700,29022.42,17964.56,5873.75,47284,4392
Kayla Roberts,technician ,debt_consolidation,7115,15000,18.06,36,54,26319222,0.675,1/1/2021,3700,29022.42,7638.48,2497.5,52458,4200
David Nguyen,repair technician,medical,44476,15000,7.35,36,47,22907471,0.5875,1/1/2021,3700,29022.42,6648.3,2173.75,36305,3096
Ryan Coleman MD,construction worker,credit_card,69083,10000,7.35,36,31,15109183,0.3875,1/1/2021,3700,29022.42,4385.05,1433.75,14515,1260
Jasmine Wallace DDS,service deli,debt_consolidation,24979,2700,19.03,36,10,4873930,0.125,1/1/2021,3700,29022.42,1414.53,462.5,45941,4104
James Guerrero,engineering ,debt_consolidation,92146,40000,15.05,60,95,53490035,1.729,1/1/2023,3824,16540,8847.25,6611.696,15751,1404
Rebecca Wall,service tech,credit_card,24632,16000,10.42,60,34,19143802,0.6188,1/1/2023,3824,16540,3166.38,2366.2912,11026,972
Anthony Hahn,driver,credit_card,15427,20000,9.93,36,64,31193152,0.8,1/1/2021,3700,29022.42,9053.01,2960,2844,252
Douglas Wise,associate,home_improvement,21733,3600,9.44,36,12,5848716,0.15,1/1/2021,3700,29022.42,1697.44,555,60801,4740
Christopher Vincent,administrative secretary ,credit_card,26201,10000,7.97,36,31,15109183,0.3875,1/1/2021,3700,29022.42,4385.05,1433.75,5912,540
John Diaz,supervisor spd,debt_consolidation,31198,8000,10.42,36,26,12672218,0.325,1/1/2021,3700,29022.42,3677.78,1202.5,6101,576
Sheila Harris,lead consulting data analyst,debt_consolidation,103062,24000,19.03,60,62,34909286,1.1284,1/1/2023,3824,16540,5774,4315.0016,3266,288
Julie Chan,workforce development consultant,debt_consolidation,37442,28000,21.45,60,76,42792028,1.3832,1/1/2023,3824,16540,7077.8,5289.3568,56063,4380
Jennifer Johnson,operations manager,debt_consolidation,25734,32000,18.06,60,81,45607293,1.3286,1/1/2023,3824,16540,7543.45,5080.5664,13937,1224
Hannah Clay,,other,17247,10000,7.97,36,31,15109183,0.3875,1/1/2021,3700,29022.42,4385.05,1433.75,26288,2160
Brian Santiago,executive producer,credit_card,43432,30000,11.99,36,100,48739300,1.25,1/1/2021,3700,29022.42,14145.32,4625,35921,3240
Michael Williams,front office ,credit_card,10740,6500,11.99,36,22,10722646,1.1648,1/1/2021,3700,29022.42,3111.97,4309.76,19225,1560
Chris Henderson,sales ins agent,debt_consolidation,43269,16000,7.35,36,50,24369650,0.625,1/1/2021,3700,29022.42,7072.66,2312.5,22326,1800
Lynn Wright,travel advisor,credit_card,37820,4800,7.35,36,15,7310895,0.1875,1/1/2021,3700,29022.42,2121.8,693.75,17269,1440
Amber Garcia,chef,home_improvement,49725,25600,14.08,60,60,33783180,1.092,1/1/2023,3824,16540,5587.74,4175.808,46526,3960
Antonio Ali,contractor,credit_card,41181,16000,17.09,36,57,27781401,0.7125,1/1/2021,3700,29022.42,8062.83,2636.25,39420,3120
Benjamin Williams,site manager,debt_consolidation,16535,16000,19.03,60,42,23648226,0.7644,1/1/2023,3824,16540,3911.42,2923.0656,58867,4800
Christopher Collins,manager,other,44473,5000,18.06,36,18,8773074,0.225,1/1/2021,3700,29022.42,2546.16,832.5,1707,144
Lauren Morris,software engineer,debt_consolidation,61485,20000,15.05,60,48,27026544,0.8736,1/1/2023,3824,16540,4470.19,3340.6464,38200,3240
Amanda Thompson,route salesman,debt_consolidation,21711,2500,5.32,36,8,3899144,0.1,1/1/2021,3700,29022.42,1131.63,370,23035,2124
Mr. Gary Lowe,auto worker,debt_consolidation,16365,5000,5.32,36,15,7310895,0.1875,1/1/2021,3700,29022.42,2121.8,693.75,5498,468
David Murphy,teacher,medical,12434,18000,12.62,60,41,23085173,0.7462,1/1/2023,3824,16540,3818.29,2853.4688,30978,2808
Cody Anderson,math teacher,moving,148535,1000,17.09,36,4,1949572,0.05,1/1/2021,3700,29022.42,565.81,185,12016,1116
Nathan Gray,airline captain,credit_card,297186,24000,9.44,36,77,37529261,0.9625,1/1/2021,3700,29022.42,10891.9,3561.25,32808,2916
Dawn Park,foreman,debt_consolidation,17366,4000,10.91,36,13,6336109,0.1625,1/1/2021,3700,29022.42,1838.89,601.25,11678,1044
David Vega,certified nursing assistsnt,other,17465,12000,16.02,60,29,16328537,0.5278,1/1/2023,3824,16540,2700.74,2018.3072,23175,1980
Erica Mendoza,teacher ,other,25993,10000,14.08,36,34,16571362,0.425,1/1/2021,3700,29022.42,4809.41,1572.5,40775,3360
William Brennan,web design,debt_consolidation,11458,25000,6.08,36,76,37041868,0.95,1/1/2021,3700,29022.42,10750.45,3515,37343,2940
Julie Hoffman,registered nurse,debt_consolidation,34417,26000,11.99,36,86,41915798,1.075,1/1/2021,3700,29022.42,12164.98,3977.5,8959,792
Paul Meyers,environmental consultant,debt_consolidation,68028,13500,15.05,36,47,22907471,0.5875,1/1/2021,3700,29022.42,6648.3,2173.75,73080,5700
Joshua Miller,law enforcement officer,other,9578,7000,5.32,36,21,10235253,0.2625,1/1/2021,3700,29022.42,2970.52,971.25,10769,900
Steven Henry,property manager,debt_consolidation,63236,22000,5.32,36,66,32167938,0.825,1/1/2021,3700,29022.42,9335.91,3052.5,13498,1116
Wendy Carroll,lineman,debt_consolidation,76949,20000,20,36,74,36067082,0.925,1/1/2021,3700,29022.42,10467.54,3422.5,32620,2700
Michael Acevedo,owner,debt_consolidation,11715,25000,13.59,60,58,32657074,1.0556,1/1/2023,3824,16540,5401.48,4036.6144,20766,1872
Daniel David,hr manager ,debt_consolidation,93657,31000,20,60,82,46170346,1.4924,1/1/2023,3824,16540,7636.58,5706.9376,4246,360
Michael Meyers,president,major_purchase,25819,15000,7.35,36,47,22907471,0.5875,1/1/2021,3700,29022.42,6648.3,2173.75,39658,3480
Thomas Howard,regional underwriting manager,debt_consolidation,91017,24000,17.09,60,60,33783180,1.092,1/1/2023,3824,16540,5587.74,4175.808,38371,3060
John Marshall,director,debt_consolidation,98593,25000,17.09,60,62,34909286,1.1284,1/1/2023,3824,16540,5774,4315.0016,9321,792
Martin Estrada,owner ,debt_consolidation,60828,18000,10.91,36,59,28756187,0.7375,1/1/2021,3700,29022.42,8345.74,2728.75,20983,1680
Henry Ellis,accountant,debt_consolidation,21306,18000,6.72,36,55,26806615,0.6875,1/1/2021,3700,29022.42,7779.93,2543.75,46074,3600
Scott Snyder,shift supervisor,credit_card,5414,5000,6.72,36,15,7310895,0.1875,1/1/2021,3700,29022.42,2121.8,693.75,13126,1152
William Maldonado,clinical advisor behavirol health,other,43629,20000,21.45,60,55,30967915,1.001,1/1/2023,3824,16540,5122.09,3827.824,13452,1116
Dana Patel,medical imagining manager,debt_consolidation,33258,24000,9.93,60,51,28715703,0.9282,1/1/2023,3824,16540,4749.58,3549.4368,40896,3360
Jessica King,,credit_card,2242,12000,18.06,36,43,20957899,0.5375,1/1/2021,3700,29022.42,6082.49,1988.75,21857,1740
Ronald Anderson,physician assistant,small_business,121076,40000,13.59,60,92,51800876,1.6744,1/1/2023,3824,16540,8567.86,6402.9056,8411,792
Diana Robinson,staff accountant,debt_consolidation,35823,10000,6.72,36,31,15109183,0.3875,1/1/2021,3700,29022.42,4385.05,1433.75,33636,3096
Melissa Scott,,credit_card,25933,2500,7.35,36,8,3899144,0.1,1/1/2021,3700,29022.42,1131.63,370,50385,4140
Angela Lam,plant protection technician ,credit_card,27511,10000,7.97,36,31,15109183,0.3875,1/1/2021,3700,29022.42,4385.05,1433.75,37470,3000
John Palmer,,debt_consolidation,6577,10000,19.03,36,37,18033541,0.4625,1/1/2021,3700,29022.42,5233.77,1711.25,44895,3840
Dawn Mckinney,master driver,debt_consolidation,87687,24000,10.42,60,51,28715703,0.9282,1/1/2023,3824,16540,4749.58,3549.4368,17390,1620
Ricky Boone,regional asset manager,debt_consolidation,56842,28000,14.08,60,65,36598445,1.183,1/1/2023,3824,16540,6053.38,4523.792,2575,216
Ronald Jones,pension ananlyst,debt_consolidation,62112,13000,7.35,36,40,19495720,0.5,1/1/2021,3700,29022.42,5658.13,1850,39444,3276
Daniel Lopez,senior web developer,credit_card,65739,12000,7.35,60,24,13513272,0.6125,1/1/2023,3824,16540,2235.1,2342.2,70683,5580
Kathy Terry,driver,credit_card,46636,10000,6.08,36,30,14621790,0.375,1/1/2021,3700,29022.42,4243.6,1387.5,41202,3540
Shirley Obrien,driver forklift ,credit_card,30109,20000,14.08,36,68,33142724,0.85,1/1/2021,3700,29022.42,9618.82,3145,50385,4140
Charlotte Cunningham,financial management techncian,credit_card,123020,24000,6,36,73,35579689,0.9125,1/1/2021,3700,29022.42,10326.09,3376.25,3446,288
Vickie Andrade,warehouse,debt_consolidation,18411,23000,21.45,60,63,35472339,1.1466,1/1/2023,3824,16540,5867.12,4384.5984,19910,1764
Robert Vincent,paralegal,debt_consolidation,54577,30000,6.08,36,91,44352763,1.1375,1/1/2021,3700,29022.42,12872.25,4208.75,49056,4020
Natasha Pollard,"information associat, sr",other,26403,6000,11.99,36,20,9747860,0.25,1/1/2021,3700,29022.42,2829.06,925,34070,2820
Alexander Prince,senior officer specialist,debt_consolidation,47524,16000,20,60,42,23648226,0.7644,1/1/2023,3824,16540,3911.42,2923.0656,8541,792
Julie Ramirez,teacher,debt_consolidation,38276,14000,16.02,60,34,19143802,0.6188,1/1/2023,3824,16540,3166.38,2366.2912,42356,3600
Paula Ortiz,,credit_card,8733,6000,7.35,36,19,9260467,0.2375,1/1/2021,3700,29022.42,2687.61,878.75,12800,1080
Jordan Williamson,creative executive,credit_card,47113,10000,6.72,36,31,15109183,0.3875,1/1/2021,3700,29022.42,4385.05,1433.75,15165,1332
Troy Mccoy,president,medical,43934,20000,9.93,36,64,31193152,0.8,1/1/2021,3700,29022.42,9053.01,2960,11026,972
Mark Jackson,service advisor,debt_consolidation,22126,30000,20,60,79,44481187,1.4378,1/1/2023,3824,16540,7357.19,5498.1472,68140,5580
Joanne Ochoa,associate brand manager,credit_card,129091,9000,9.44,36,29,14134397,0.3625,1/1/2021,3700,29022.42,4102.14,1341.25,21076,1680
Chloe Friedman,billing coordinator,other,22199,6000,19.03,36,22,10722646,0.275,1/1/2021,3700,29022.42,3111.97,1017.5,22843,2052
Pamela Reed,branch manager,debt_consolidation,28674,15000,7.97,36,47,22907471,0.5875,1/1/2021,3700,29022.42,6648.3,2173.75,3982,360
Jennifer Hanna,teacher,debt_consolidation,7048,1000,7.35,36,3,1462179,1.5875,1/1/2021,3700,29022.42,424.36,5873.75,38418,3420
Kimberly Anderson,cashier,debt_consolidation,12143,20000,15.05,60,48,27026544,0.8736,1/1/2023,3824,16540,4470.19,3340.6464,29930,2520
Nathan Curry,,car,30439,3100,7.35,36,10,4873930,0.125,1/1/2021,3700,29022.42,1414.53,462.5,61320,4980
Katherine Jones,vp of operations,major_purchase,101338,16800,16.02,60,41,23085173,0.7462,1/1/2023,3824,16540,3818.29,2853.4688,16108,1476
Margaret Hinton,senior manager,moving,40957,24000,9.44,60,50,28152650,0.91,1/1/2023,3824,16540,4656.45,3479.84,3186,288
Robert Jordan,supervisor,credit_card,69003,35000,21.45,60,96,54053088,1.7472,1/1/2023,3824,16540,8940.38,6681.2928,8156,720
Morgan Webster,service manager,debt_consolidation,17428,12000,24.85,36,48,23394864,0.6,1/1/2021,3700,29022.42,6789.76,2220,30900,2580
Jeffrey Smith,driver,small_business,104859,13000,11.99,36,43,20957899,0.5375,1/1/2021,3700,29022.42,6082.49,1988.75,40884,3360
Michelle Cooley,personal banker,other,25633,6500,12.62,36,22,10722646,0.275,1/1/2021,3700,29022.42,3111.97,1017.5,7787,684
Gabriel Evans,legal assistant,debt_consolidation,55141,24400,13.59,60,56,31530968,1.0192,1/1/2023,3824,16540,5215.22,3897.4208,4028,360
Lisa Cooper,,debt_consolidation,73616,35000,14.08,36,120,58487160,1.5,1/1/2021,3700,29022.42,16974.39,5550,24465,2040
Natalie Camacho,principal secretary ,debt_consolidation,18739,24000,25.82,60,72,40539816,1.3104,1/1/2023,3824,16540,6705.29,5010.9696,28545,2280
Aaron Odom,drilling fluids engineer,debt_consolidation,44487,24000,5.32,36,72,35092296,0.9,1/1/2021,3700,29022.42,10184.63,3330,8533,756
Rebecca Vance,teacher ,debt_consolidation,72589,16800,10.91,36,55,26806615,0.6875,1/1/2021,3700,29022.42,7779.93,2543.75,5369,504
Daniel Simon,food scientist,credit_card,75333,29000,7.35,60,58,32657074,1.0556,1/1/2023,3824,16540,5401.48,4036.6144,46140,3720
William Erickson,cashier,debt_consolidation,20901,12000,25.82,60,36,20269908,0.6552,1/1/2023,3824,16540,3352.64,2505.4848,23648,2196
Matthew Carter,director of administration,debt_consolidation,37560,25200,16.02,60,61,34346233,1.1102,1/1/2023,3824,16540,5680.87,4245.4048,8272,720
Richard Harvey,teacher,home_improvement,51124,15000,11.99,60,33,18580749,0.6006,1/1/2023,3824,16540,3073.26,2296.6944,42556,3960
Victoria Calderon,maintenance mechanic ,debt_consolidation,54543,12000,9.93,36,39,19008327,0.4875,1/1/2021,3700,29022.42,5516.68,1803.75,28960,2400
Matthew Perry,principal,debt_consolidation,56174,10200,6.72,36,31,15109183,0.3875,1/1/2021,3700,29022.42,4385.05,1433.75,29565,2340
William Henderson,tv broadcaster ,debt_consolidation,32861,30000,14.08,60,70,39413710,1.274,1/1/2023,3824,16540,6519.03,4871.776,7267,648
Nathan Parsons,manager,debt_consolidation,7701,6000,6.72,36,18,8773074,0.225,1/1/2021,3700,29022.42,2546.16,832.5,24336,2040
Vincent Murray,,other,5627,1500,13.59,36,5,2436965,0.0625,1/1/2021,3700,29022.42,707.27,231.25,16310,1380
Jessica Crawford,edi analyst,credit_card,86343,14000,9.44,60,29,16328537,0.5278,1/1/2023,3824,16540,2700.74,2018.3072,48292,4080
Christopher Webb,,credit_card,55334,6400,9.44,36,20,9747860,0.25,1/1/2021,3700,29022.42,2829.06,925,4205,396
Eric Roth,quality engineer,credit_card,148101,31200,20,60,83,46733399,1.5106,1/1/2023,3824,16540,7729.7,5776.5344,9957,864
Jane Case,front office manager,credit_card,41134,14000,9.93,60,30,16891590,0.546,1/1/2023,3824,16540,2793.87,2087.904,12127,1008
David Barnett,operator 3,debt_consolidation,37136,35000,14.08,60,82,46170346,1.4924,1/1/2023,3824,16540,7636.58,5706.9376,45025,3660
Alan Wilson,president & ceo,other,105626,10000,10.91,36,33,16083969,0.4125,1/1/2021,3700,29022.42,4667.96,1526.25,54093,4560
Debbie Jones,sales manager,debt_consolidation,65570,15000,7.35,60,30,16891590,0.546,1/1/2023,3824,16540,2793.87,2087.904,24064,1920
Amanda Curtis,flight attendant,debt_consolidation,21465,15000,7.97,36,47,22907471,0.5875,1/1/2021,3700,29022.42,6648.3,2173.75,28370,2628
Robert Ellis,associate,debt_consolidation,13497,8000,7.97,36,25,12184825,0.3125,1/1/2021,3700,29022.42,3536.33,1156.25,8270,720
Christopher Medina PhD,managet,debt_consolidation,145719,19000,15.05,60,45,25337385,0.819,1/1/2023,3824,16540,4190.8,3131.856,18024,1656
Jasmine Flores,substitute teacher,credit_card,21404,11000,7.35,36,34,16571362,0.425,1/1/2021,3700,29022.42,4809.41,1572.5,17777,1584
Adrian Watts,owner,home_improvement,5939,7000,5.32,36,21,10235253,0.2625,1/1/2021,3700,29022.42,2970.52,971.25,16543,1440
Susan Lane,associate,debt_consolidation,7316,40000,7.35,36,124,60436732,1.55,1/1/2021,3700,29022.42,17540.2,5735,48241,4212
Hannah Bruce,,home_improvement,33374,17500,9.44,60,37,20832961,0.6734,1/1/2023,3824,16540,3445.77,2575.0816,6415,576
Alexandra Hobbs,sales ,debt_consolidation,39667,14000,13.59,36,48,23394864,0.6,1/1/2021,3700,29022.42,6789.76,2220,18308,1692
Charles Jones,rn,debt_consolidation,57191,25000,19.03,60,65,36598445,1.183,1/1/2023,3824,16540,6053.38,4523.792,9650,828
Kevin Goodman,,home_improvement,71544,15000,7.97,36,47,22907471,0.5875,1/1/2021,3700,29022.42,6648.3,2173.75,17035,1380
Erin Gomez,customer manager,credit_card,89055,6025,15.05,36,21,10235253,0.2625,1/1/2021,3700,29022.42,2970.52,971.25,25413,2160
Chad Sanchez,registered nurse,debt_consolidation,26510,13000,5.32,36,39,19008327,0.4875,1/1/2021,3700,29022.42,5516.68,1803.75,37513,3120
Melissa Wong,sales/front-line underwriting,credit_card,26911,8000,15.05,36,28,13647004,0.35,1/1/2021,3700,29022.42,3960.69,1295,32448,2916
Drew Beasley,hs teacher/ college professor,credit_card,41861,5000,9.44,36,16,7798288,0.2,1/1/2021,3700,29022.42,2263.25,740,9819,864
Lindsey Haynes,sales department,home_improvement,37802,9550,17.09,36,34,16571362,0.425,1/1/2021,3700,29022.42,4809.41,1572.5,28838,2280
David Mcintosh,inspector,credit_card,1917,5400,10.91,36,18,8773074,0.225,1/1/2021,3700,29022.42,2546.16,832.5,7167,648
Rebecca Giles,sales representative,credit_card,56660,12000,5.32,36,36,17546148,0.45,1/1/2021,3700,29022.42,5092.32,1665,27960,2460
Michael Wright,,other,1176,1000,18.06,36,4,1949572,0.05,1/1/2021,3700,29022.42,565.81,185,4148,360
Gregory Munoz,adjunct instructor (professor),debt_consolidation,34091,5000,23.88,36,20,9747860,0.25,1/1/2021,3700,29022.42,2829.06,925,7621,648
Carla Wolfe,warehouse clerk,home_improvement,25392,4900,7.97,36,15,7310895,0.1875,1/1/2021,3700,29022.42,2121.8,693.75,39752,3060
Colleen Hays,delivery driver,credit_card,15676,9600,11.99,36,32,15596576,0.4,1/1/2021,3700,29022.42,4526.5,1480,47088,4020
Melissa Olson,hospitality services manager,debt_consolidation,71701,20000,14.08,60,47,26463491,0.8554,1/1/2023,3824,16540,4377.06,3271.0496,23436,2052
Taylor Rodriguez,senior mechanical assembler,debt_consolidation,12329,17000,13.59,36,58,28268794,0.725,1/1/2021,3700,29022.42,8204.29,2682.5,30617,2460
Debra Quinn,billing specialist,credit_card,39950,10000,7.97,36,31,15109183,0.3875,1/1/2021,3700,29022.42,4385.05,1433.75,12176,1152
Kimberly Ruiz,manager,major_purchase,108121,35000,7.97,36,110,53613230,1.375,1/1/2021,3700,29022.42,15559.86,5087.5,5911,540
Valerie Jordan,supervisor,debt_consolidation,24738,3600,13.59,36,12,5848716,0.15,1/1/2021,3700,29022.42,1697.44,555,13205,1116
Taylor Smith,registered nurse,home_improvement,2663,12000,7.35,36,37,18033541,0.425,1/1/2021,3700,29022.42,5233.77,1572.5,47985,4020
Warren Ponce,,other,1741,10000,6.08,36,30,14621790,0.375,1/1/2021,3700,29022.42,4243.6,1387.5,20630,1728
Steven Freeman,airman,other,2243,13200,7.35,36,41,19983113,0.5125,1/1/2021,3700,29022.42,5799.58,1896.25,15990,1320
Ariel Brennan,truck driver,debt_consolidation,45116,16000,14.08,60,37,20832961,0.6734,1/1/2023,3824,16540,3445.77,2575.0816,25952,2304
Kathryn Meyer,server,credit_card,5229,10000,6.72,36,31,15109183,0.3875,1/1/2021,3700,29022.42,4385.05,1433.75,68160,5580
Steven Evans,merchandise,debt_consolidation,14172,10000,6.08,36,30,14621790,0.375,1/1/2021,3700,29022.42,4243.6,1387.5,37068,3120
Taylor Williams,,debt_consolidation,26483,3000,19.03,36,11,5361323,0.8918,1/1/2021,3700,29022.42,1555.99,3299.66,24203,2052
